genes
Sox17
Gm37587
Mrpl15
Lypla1
Tcea1
Rgs20
Atp6v1h
Rb1cc1
4732440D04Rik
Pcmtd1
Gm26901
Sntg1
Rrs1
Adhfe1
2610203C22Rik
Mybl1
Vcpip1
1700034P13Rik
Sgk3
Mcmdc2
Snhg6
Tcf24
Cops5
Cspp1
Arfgef1
Cpa6
Prex2
Sulf1
Slco5a1
Ncoa2
Tram1
Lactb2
Eya1
Gm9947
Msc
Trpa1
Kcnb2
Terf1
Sbspon
Rpl7
Rdh10
Stau2
Ube2w
Eloc
Tmem70
Ly96
Jph1
Gdap1
Pi15
Gm28154
Gm16070
Crispld1
Mcm3
6720483E21Rik
Paqr8
Efhc1
Tram2
Tmem14a
Kcnq5
Gm29107
Ogfrl1
Smap1
Sdhaf4
Fam135a
Col9a1
Col19a1
Lmbrd1
Gm9898
Phf3
Ptp4a1
Prim2
Rab23
Bag2
Zfp451
Bend6
Dst
Gm37233
Ccdc115
Imp4
Ptpn18
Gm28417
Arhgef4
Gm38336
Fam168b
Plekhb2
Hs6st1
Gm33280
Uggt1
Neurl3
Arid5a
4930403P22Rik
Kansl3
Lman2l
Cnnm4
Cnnm3
Ankrd23
Ankrd39
Sema4c
D430040D24Rik
Fam178b
Cox5b
Actr1b
Zap70
Tmem131
Gm38115
Vwa3b
Inpp4a
Coa5
Unc50
Mgat4a
2010300C02Rik
Tsga10
Lipt1
Mitd1
Mrpl30
Txndc9
Eif5b
Rev1
Aff3
Gm16152
Lonrf2
Chst10
Pdcl3
Npas2
Rpl31
Tbc1d8
Cnot11
Gm15832
Rnf149
Rfx8
Gm3646
1700066B17Rik
Map4k4
Il1r2
Gm16894
Il1r1
Il1rl2
Il1rl1
Il18r1
Il18rap
Slc9a2
Gm37915
Mfsd9
Tmem182
Pantr1
Pou3f3
Mrps9
Gpr45
Tgfbrap1
8430432A02Rik
AI597479
Fhl2
Nck2
Ecrg4
Gm29155
Gm29157
Uxs1
Tpp2
Gm8251
Tex30
Poglut2
Bivm
Ercc5
Gulp1
Col3a1
Col5a2
Wdr75
Slc40a1
Dnah7b
Slc39a10
Gm28151
Tmeff2
Cavin2
Nabp1
Myo1b
Gm29453
Gm28323
Stat4
Gm31812
Stat1
Gls
Nab1
Nemp2
Mfsd6
Inpp1
Hibch
1700019D03Rik
Mstn
Pms1
Ormdl1
Osgepl1
Asnsd1
Dnah7a
Stk17b
Hecw2
Ccdc150
Gtf3c3
Pgap1
Ankrd44
Sf3b1
Coq10b
Hspd1
Hspe1
Mob4
Rftn2
Gm10561
Mars2
Plcl1
9130227L01Rik
Satb2
9130024F11Rik
BC055402
4930558J18Rik
1700066M21Rik
Tyw5
Maip1
Spats2l
Kctd18
Sgo2a
Aox1
Aox3
Aox2
Bzw1
Clk1
Ppil3
Nif3l1
Orc2
Gm15834
Fam126b
Ndufb3
Cflar
Casp8
Trak2
Stradb
Tmem237
G730003C15Rik
Als2
Cdk15
Fzd7
Gm973
Gm28411
Sumo1
Nop58
Bmpr2
Fam117b
Ica1l
Wdr12
Carf
Nbeal1
Cyp20a1
Abi2
Raph1
Cd28
Icos
Pard3b
Nrp2
Gm4208
Ino80d
Ino80dos
Gm20342
Ndufs1
Eef1b2
Gpr1
Zdbf2
Adam23
Fastkd2
Klf7
Creb1
Mettl21a
2810408I11Rik
Ccnyl1
Fzd5
Plekhm3
Idh1
Pikfyve
Map2
Unc80
Rpe
Kansl1l
Acadl
Myl1
Lancl1
Ikzf2
Bard1
Atic
Fn1
Apol7d
Gm8883
Mreg
Pecr
Tmem169
Xrcc5
Smarcal1
Rpl37a
Igfbp2
Igfbp5
6030407O03Rik
Tns1
Rufy4
Cxcr2
Arpc2
Gpbar1
Aamp
Pnkd
Tmbim1
Gm29358
Catip
Slc11a1
Ctdsp1
Usp37
Cnot9
Zfp142
Bcs1l
Rnf25
Stk36
Ttll4
Cyp27a1
Wnt6
Cryba2
Ihh
Nhej1
Cnppd1
Retreg2
Zfand2b
Abcb6
Atg9a
Ankzf1
Glb1l
Stk16
Tuba4a
Dnajb2
Ptprn
Dnpep
Des
Speg
Gmppa
Chpf
Obsl1
Tmem198
Inha
Stk11ip
Slc4a3
Epha4
Farsb
Mogat1
Acsl3
Utp14b
Kcne4
Ap1s3
Wdfy1
Mrpl44
Serpine2
Fam124b
Cul3
Dock10
Irs1
Rhbdd1
Col4a4
Col4a3
C430014B12Rik
Mff
Gm28941
Agfg1
A030005L19Rik
Slc19a3
Sphkap
Pid1
Dner
Trip12
Fbxo36
Sp110
Sp140
Sp100
A630001G21Rik
Cab39
Itm2c
2810459M11Rik
Psmd1
Armc9
B3gnt7
Ncl
C130036L24Rik
Ptma
Pde6d
Cops7b
Nppc
Dis3l2
Gm29055
Eif4e2
Efhd1
Gigyf2
Snorc
Ngef
Neu2
Inpp5d
Atg16l1
Sag
Dgkd
Usp40
Dnajb3
Hjurp
Glrp1
Arl4c
Sh3bp4
Agap1
Gbx2
D130058E05Rik
Asb18
Ackr3
Gm28723
Cops8
Col6a3
Mlph
Rab17
Lrrfip1
Rbm44
Ramp1
Ube2f
Scly
Klhl30
Erfe
Ilkap
Hes6
Per2
Traf3ip1
Asb1
Gm29100
Twist2
Gm29101
Hdac4
Ndufa10
Cops9
Otos
Gpc1
Ankmy1
Dusp28
5033417F24Rik
Rnpepl1
9430060I03Rik
Capn10
Kif1a
Gm28086
Sned1
Mterf4
Gm28535
Pask
Ppp1r7
Ano7
Hdlbp
sep/02
Farp2
Stk25
Bok
Thap4
Atg4b
Dtymk
Ing5
D2hgdh
Pdcd1
Fam174a
St8sia4
D1Ertd622e
Ppip5k2
Gin1
Pam
B230216N24Rik
1810006J02Rik
Gm7967
Rnf152
Gm17634
Pign
Relch
Tnfrsf11a
Gm7160
Zcchc2
Phlpp1
Bcl2
Kdsr
Vps4b
Serpinb7
Serpinb2
Serpinb8
Cdh19
Dsel
Tsn
Nifk
Clasp1
2900060B14Rik
Gli2
Gm26831
Inhbb
Ralb
Gm27184
Tmem185b
Epb41l5
Ptpn4
Tmem177
Sctr
Tmem37
Dbi
3110009E18Rik
Steap3
En1
Insig2
2210011K15Rik
Ccdc93
Ddx18
Actr3
Slc35f5
Lypd1
Nckap5
Mgat5
Tmem163
Acmsd
2900009J06Rik
Ccnt2
Rab3gap1
Zranb3
R3hdm1
Ubxn4
Mcm6
Dars
Cxcr4
Gm15675
Cd55
Gm16083
Pfkfb2
Yod1
AA986860
Gm28857
Mapkapk2
Dyrk3
Eif2d
Rassf5
Ikbke
Srgap2
Gm29488
Fam72a
Ctse
Rab7b
Pm20d1
Slc41a1
Rab29
Nucks1
Slc45a3
Elk4
Mfsd4a
Cdk18
Klhdc8a
Nuak2
Tmcc2
Dstyk
6030442K20Rik
Rbbp5
Tmem81
Nfasc
Lrrn2
Mdm4
Pik3c2b
Ppp1r15b
Plekha6
Ren1
Etnk2
Sox13
Snrpe
Zc3h11a
Gm38394
Lax1
Atp2b4
Optc
Gm15851
Prelp
Fmod
Btg2
Chit1
Chil1
Mybph
Adora1
Myog
Ppfia4
Tmem183a
Cyb5r1
Adipor1
Klhl12
Rabif
Kdm5b
Ppp1r12b
Ube2t
Lgr6
Ptpn7
Arl8a
Gm15445
Gpr37l1
Elf3
Rnpep
Timm17a
Lmod1
Shisa4
Ipo9
Nav1
Csrp1
Phlda3
Tnni1
Tnnt2
Pkp1
Tmem9
Kif21b
Camsap2
9230116N13Rik
Ddx59
Kif14
Zfp281
Gm19705
Nr5a2
Gm4258
Gm26930
